RIS-TrapCode,CalDate,Black Rustic,Cloaked Minor,Coast Dart,Common Wainscot,Dark Arches,Dusky Brocade,Dusky Sallow,Flounced Rustic,Gatekeeper,Large Nutmeg,Marbled Minor,Meadow Brown,Middle-barred Minor,Ringlet,Rosy Minor,Rustic Shoulder-knot,Shoulder-striped Wainscot,Slender Brindle,Small Dotted Buff,Smoky Wainscot,Speckled Wood,Straw Dot,Tawny Marbled Minor,Wall
88,1976,0.0,288.0,0.0,4032.0,72.0,0.0,384.0,5496.0,0.0,48.0,0.0,0.0,408.0,0.0,48.0,0.0,0.0,0.0,24.0,72.0,0.0,0.0,96.0,0.0
88,1977,24.0,264.0,0.0,1176.0,336.0,0.0,168.0,6504.0,0.0,216.0,0.0,0.0,0.0,0.0,48.0,24.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0
88,1978,0.0,192.0,0.0,1248.0,576.0,0.0,24.0,1512.0,0.0,168.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,24.0,48.0,0.0,0.0,0.0,0.0
88,1979,0.0,264.0,0.0,1728.0,24.0,0.0,48.0,1656.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
88,1980,0.0,192.0,0.0,2328.0,168.0,0.0,48.0,1680.0,0.0,192.0,0.0,0.0,48.0,0.0,24.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0
88,1981,0.0,216.0,0.0,1320.0,240.0,24.0,24.0,2040.0,0.0,336.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,48.0,384.0,0.0,0.0,48.0,0.0
88,1982,0.0,336.0,0.0,3576.0,216.0,0.0,72.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,24.0,0.0
88,1983,0.0,96.0,0.0,336.0,168.0,0.0,48.0,2664.0,0.0,312.0,0.0,0.0,48.0,0.0,0.0,72.0,0.0,0.0,0.0,192.0,0.0,0.0,48.0,0.0
88,1984,0.0,192.0,0.0,384.0,456.0,24.0,192.0,1800.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,264.0,0.0,24.0,144.0,0.0
88,1985,0.0,24.0,0.0,408.0,192.0,0.0,0.0,1584.0,0.0,240.0,0.0,0.0,96.0,0.0,0.0,24.0,0.0,0.0,24.0,72.0,0.0,0.0,48.0,0.0
88,1986,0.0,144.0,0.0,264.0,312.0,0.0,48.0,2064.0,0.0,96.0,24.0,0.0,48.0,0.0,0.0,72.0,0.0,0.0,72.0,192.0,0.0,0.0,24.0,0.0
